iter	Passed	Remaining
0	145	145161
1	146	73322
2	148	49225
3	149	37186
4	150	29973
5	151	25146
6	152	21694
7	154	19154
8	155	17157
9	156	15532
10	158	14265
11	160	13176
12	161	12240
13	162	11439
14	163	10738
15	164	10123
16	165	9591
17	167	9116
18	168	8686
19	169	8300
20	170	7951
21	171	7642
22	173	7357
23	174	7096
24	175	6848
25	176	6619
26	177	6407
27	179	6218
28	180	6040
29	181	5873
30	182	5715
31	183	5565
32	185	5425
33	186	5304
34	187	5177
35	188	5058
36	190	4949
37	191	4842
38	192	4753
39	193	4655
40	195	4566
41	196	4479
42	197	4395
43	198	4319
44	200	4263
45	202	4191
46	203	4119
47	204	4050
48	205	3990
49	206	3926
50	208	3871
51	209	3813
52	210	3764
53	212	3715
54	214	3680
55	215	3630
56	216	3582
57	217	3536
58	218	3490
59	219	3446
60	221	3402
61	222	3361
62	223	3323
63	224	3285
64	225	3249
65	227	3216
66	229	3191
67	230	3158
68	232	3132
69	233	3099
70	234	3069
71	235	3037
72	236	3008
73	238	2979
74	239	2950
75	240	2923
76	241	2900
77	243	2876
78	244	2852
79	245	2827
80	247	2802
81	248	2778
82	248	2749
83	249	2726
84	251	2703
85	252	2680
86	253	2660
87	254	2640
88	256	2626
89	258	2612
90	259	2593
91	260	2575
92	262	2555
93	263	2536
94	264	2517
95	265	2500
96	266	2482
97	267	2464
98	269	2449
99	271	2443
100	272	2428
101	274	2412
102	275	2396
103	276	2382
104	277	2367
105	278	2352
106	280	2338
107	281	2326
108	282	2312
109	285	2308
110	286	2295
111	287	2283
112	289	2270
113	290	2258
114	291	2245
115	292	2232
116	293	2217
117	295	2207
118	296	2194
119	297	2185
120	300	2183
121	301	2170
122	302	2158
123	303	2147
124	305	2135
125	306	2123
126	307	2111
127	308	2100
128	309	2090
129	310	2079
130	312	2070
131	314	2067
132	315	2058
133	317	2050
134	318	2042
135	320	2034
136	321	2026
137	322	2017
138	324	2007
139	325	1998
140	326	1991
141	327	1981
142	329	1972
143	330	1963
144	331	1955
145	332	1946
146	333	1937
147	335	1928
148	336	1920
149	337	1912
150	338	1905
151	340	1901
152	342	1896
153	343	1888
154	344	1880
155	346	1872
156	347	1865
157	348	1858
158	349	1850
159	351	1842
160	351	1833
161	353	1826
162	354	1820
163	356	1817
164	357	1810
165	358	1803
166	360	1796
167	361	1789
168	362	1782
169	363	1776
170	364	1769
171	366	1762
172	367	1757
173	369	1753
174	371	1749
175	372	1744
176	373	1737
177	374	1731
178	376	1725
179	377	1719
180	378	1713
181	380	1709
182	381	1703
183	383	1699
184	384	1694
185	386	1689
186	387	1683
187	388	1678
188	389	1672
189	391	1667
190	392	1661
191	393	1657
192	395	1651
193	396	1646
194	398	1643
195	399	1638
196	400	1632
197	401	1627
198	403	1622
199	404	1617
200	405	1612
201	407	1610
202	409	1606
203	410	1601
204	412	1599
205	413	1594
206	414	1589
207	416	1584
208	417	1579
209	418	1574
210	419	1570
211	421	1565
212	422	1560
213	423	1556
214	424	1551
215	427	1550
216	428	1545
217	429	1540
218	430	1535
219	431	1531
220	433	1528
221	434	1524
222	436	1519
223	437	1515
224	438	1510
225	440	1507
226	441	1503
227	442	1499
228	444	1495
229	445	1490
230	446	1486
231	447	1482
232	449	1478
233	450	1474
234	451	1470
235	452	1465
236	454	1462
237	456	1460
238	457	1456
239	458	1451
240	492	1550
241	493	1547
242	495	1543
243	497	1540
244	499	1537
245	500	1534
246	513	1565
247	514	1561
248	516	1557
249	518	1554
250	519	1551
251	521	1547
252	522	1542
253	523	1538
254	525	1535
255	527	1531
256	528	1528
257	532	1531
258	535	1531
259	536	1528
260	538	1524
261	539	1521
262	541	1517
263	542	1513
264	544	1509
265	546	1507
266	548	1505
267	549	1501
268	551	1498
269	552	1493
270	553	1489
271	555	1485
272	556	1481
273	557	1477
274	558	1473
275	561	1471
276	562	1468
277	564	1464
278	565	1461
279	567	1458
280	569	1456
281	570	1453
282	572	1449
283	573	1445
284	575	1443
285	576	1439
286	578	1436
287	579	1432
288	580	1428
289	582	1425
290	583	1421
291	584	1417
292	586	1414
293	588	1412
294	590	1410
295	591	1406
296	592	1403
297	594	1399
298	595	1396
299	597	1393
300	598	1389
301	599	1386
302	601	1383
303	603	1380
304	604	1377
305	605	1374
306	607	1370
307	608	1367
308	610	1364
309	611	1360
310	612	1357
311	613	1353
312	615	1350
313	617	1348
314	618	1346
315	620	1343
316	621	1340
317	623	1336
318	624	1333
319	625	1329
320	627	1326
321	628	1323
322	629	1319
323	631	1318
324	633	1315
325	634	1312
326	636	1309
327	637	1306
328	638	1302
329	639	1299
330	641	1296
331	642	1292
332	643	1289
333	645	1288
334	647	1285
335	648	1281
336	650	1278
337	651	1275
338	652	1272
339	653	1269
340	655	1266
341	656	1263
342	658	1261
343	660	1259
344	661	1256
345	662	1253
346	664	1250
347	665	1247
348	666	1243
349	668	1240
350	669	1237
351	670	1234
352	672	1231
353	673	1229
354	675	1226
355	676	1223
356	677	1220
357	679	1217
358	680	1215
359	681	1212
360	683	1209
361	685	1207
362	687	1206
363	689	1204
364	690	1201
365	691	1198
366	693	1195
367	694	1193
368	695	1190
369	697	1187
370	698	1184
371	700	1182
372	702	1180
373	703	1178
374	705	1175
375	707	1173
376	708	1170
377	709	1167
378	711	1165
379	713	1163
380	714	1161
381	716	1159
382	718	1157
383	719	1154
384	721	1152
385	722	1149
386	724	1147
387	726	1145
388	727	1142
389	728	1139
390	730	1138
391	732	1135
392	733	1132
393	734	1130
394	736	1127
395	737	1125
396	739	1122
397	740	1120
398	742	1117
399	743	1115
400	745	1113
401	746	1110
402	748	1108
403	749	1105
404	750	1103
405	752	1100
406	753	1097
407	754	1094
408	755	1092
409	757	1090
410	759	1088
411	760	1085
412	762	1083
413	763	1080
414	765	1078
415	766	1075
416	767	1073
417	768	1070
418	770	1067
419	771	1065
420	773	1063
421	774	1061
422	776	1058
423	777	1056
424	778	1053
425	780	1051
426	781	1048
427	782	1046
428	784	1043
429	785	1041
430	787	1039
431	788	1036
432	790	1034
433	791	1032
434	792	1029
435	794	1027
436	795	1024
437	796	1022
438	797	1019
439	799	1017
440	801	1015
441	803	1013
442	804	1011
443	805	1009
444	807	1006
445	808	1003
446	809	1001
447	810	999
448	812	996
449	813	994
450	816	993
451	817	991
452	818	988
453	820	986
454	821	984
455	822	981
456	824	979
457	825	976
458	826	974
459	828	972
460	830	970
461	831	968
462	833	966
463	834	964
464	836	962
465	837	960
466	839	957
467	840	955
468	841	952
469	845	952
470	846	950
471	847	948
472	849	946
473	850	943
474	851	941
475	853	939
476	854	937
477	856	934
478	858	933
479	860	932
480	862	930
481	863	928
482	865	926
483	867	924
484	868	922
485	869	920
486	872	918
487	873	916
488	875	914
489	876	912
490	878	910
491	879	908
492	881	906
493	882	903
494	884	901
495	885	899
496	887	898
497	889	896
498	890	894
499	892	892
500	893	889
501	894	887
502	896	885
503	897	883
504	899	881
505	901	880
506	903	878
507	904	876
508	905	873
509	907	871
510	908	869
511	909	867
512	911	865
513	912	862
514	913	860
515	915	859
516	917	857
517	918	854
518	919	852
519	921	850
520	922	848
521	924	846
522	925	843
523	926	841
524	927	839
525	930	838
526	931	836
527	933	834
528	934	832
529	936	830
530	937	828
531	938	825
532	940	823
533	941	821
534	943	819
535	945	818
536	946	816
537	948	814
538	950	812
539	951	810
540	953	808
541	954	806
542	956	804
543	958	803
544	959	801
545	961	799
546	962	797
547	964	795
548	965	793
549	967	791
550	968	789
551	970	787
552	972	785
553	974	784
554	975	782
555	977	780
556	978	778
557	980	776
558	981	774
559	983	772
560	984	770
561	986	768
562	988	767
563	989	765
564	991	762
565	992	760
566	993	758
567	994	756
568	996	754
569	997	752
570	999	750
571	1002	749
572	1005	749
573	1007	747
574	1009	745
575	1011	744
576	1012	742
